"name","region","sub_region_1","sub_region_2","date","measure","fraction","value","value_daily","value_7_day_rolling_avg","value_7_day_rolling_avg_daily"
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-24","covN2","solid",70.003045,26.30064,56.852725,-7.0194075
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-28","covN2","solid",17.20927,-52.793775,43.6061575,-13.2465675
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-31","covN2","solid",3.866665,-13.342605,10.5379675,-33.06819
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-04","covN2","solid",3.27797,-0.588695,3.5723175,-6.96565
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-07","covN2","solid",28.976495,25.698525,16.1272325,12.554915
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-11","covN2","solid",19.02378,-9.952715,24.0001375,7.872905
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-14","covN2","solid",32.975385,13.951605,25.9995825,1.999445
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-18","covN2","solid",43.146985,10.1716,38.061185,12.0616025
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-21","covN2","solid",13.448085,-29.6989,28.297535,-9.76365
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-25","covN2","solid",131.142405,117.69432,72.295245,43.99771
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-08-28","covN2","solid",35.01322,-96.129185,83.0778125,10.7825675
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-09-01","covN2","solid",60.61028,25.59706,47.81175,-35.2660625
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-09-04","covN2","solid",45.9614,-14.64888,53.28584,5.47409
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-09-08","covN2","solid",44.002815,-1.958585,44.9821075,-8.3037325
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-09-11","covN2","solid",79.26301,35.260195,61.6329125,16.650805
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-09-15","covN2","solid",12.641525,-66.621485,45.9522675,-15.680645
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-09-18","covN2","solid",26.94902,14.307495,19.7952725,-26.156995
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-06","covN2","solid",114.61061,87.66159,114.61061,94.8153375
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-09","covN2","solid",31.38259,-83.22802,72.9966,-41.61401
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-13","covN2","solid",57.33512,25.95253,44.358855,-28.637745
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-16","covN2","solid",135.72968,78.39456,96.5324,52.173545
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-20","covN2","solid",61.02773,-74.70195,98.378705,1.846305
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-23","covN2","solid",57.098145,-3.929585,59.0629375,-39.3157675
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-27","covN2","solid",60.53451,3.436365,58.8163275,-0.246609999999997
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-10-30","covN2","solid",51.05449,-9.48002,55.7945,-3.0218275
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-03","covN2","solid",47.82276,-3.23173,49.438625,-6.355875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-06","covN2","solid",77.904635,30.081875,62.8636975,13.4250725
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-10","covN2","solid",247.517655,169.61302,162.711145,99.8474475
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-13","covN2","solid",80.759705,-166.75795,164.13868,1.42753500000001
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-17","covN2","solid",63.901125,-16.85858,72.330415,-91.808265
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-20","covN2","solid",19.579235,-44.32189,41.74018,-30.590235
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-24","covN2","solid",59.666405,40.08717,39.62282,-2.11736000000001
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-11-27","covN2","solid",99.78281,40.116405,79.7246075,40.1017875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-12-01","covN2","solid",56.06241,-43.7204,77.92261,-1.8019975
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-12-04","covN2","solid",38.85389,-17.20852,47.45815,-30.46446
