"date","source","date_start","date_end","region","sub_region_1","cases","cases_previous_week","deaths","tests_completed","active_hospitalizations","active_hospitalizations_previous_week","active_icu","active_icu_previous_week","average_daily_new_hospitalizations_past_7_days","average_daily_new_hospitalizations_past_7_days_previous_week"
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Regina",268,,9,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","South West",49,,2,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","South Central",70,,2,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","South East",85,,5,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Unknown",78,,0,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK",,1013,,13,7518,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Far North West",17,,1,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Far North Central",0,,0,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Far North East",9,,0,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","North West",73,,1,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","North Central",52,,1,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","North East",51,,0,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Saskatoon",207,,2,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Central West",27,,0,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Central East",82,,2,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Regina",231,,4,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","South West",33,,0,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","South Central",79,,1,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","South East",79,,1,,,,,,,
"2022-03-10","https://publications.saskatchewan.ca/api/v1/products/117114/formats/134347/download","2022-02-27","2022-03-05","SK","Unknown",73,,0,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK",,832,,28,6826,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Far North West",10,,0,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Far North Central",0,,0,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Far North East",10,,1,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","North West",51,,1,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","North Central",46,,6,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","North East",47,,2,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Saskatoon",229,,3,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Central West",26,,2,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Central East",77,,5,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Regina",137,,6,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","South West",26,,0,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","South Central",59,,0,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","South East",65,,2,,,,,,,
"2022-03-17","https://publications.saskatchewan.ca/api/v1/products/117189/formats/134476/download","2022-03-06","2022-03-12","SK","Unknown",49,,0,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK",,895,,33,7488,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Far North West",13,,0,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Far North Central",0,,0,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Far North East",8,,0,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","North West",95,,1,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","North Central",36,,3,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","North East",47,,1,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Saskatoon",195,,9,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Central West",27,,2,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Central East",91,,7,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Regina",169,,4,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","South West",35,,1,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","South Central",60,,4,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","South East",83,,1,,,,,,,
"2022-03-24","https://publications.saskatchewan.ca/api/v1/products/117371/formats/134798/download","2022-03-13","2022-03-19","SK","Unknown",36,,0,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK",,1196,,20,7449,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Far North West",34,,1,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Far North Central",0,,0,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Far North East",31,,0,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","North West",198,,1,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","North Central",56,,0,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","North East",45,,2,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Saskatoon",249,,7,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Central West",36,,1,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Central East",103,,3,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Regina",229,,1,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","South West",28,,1,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","South Central",56,,2,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","South East",93,,1,,,,,,,
"2022-03-31","https://publications.saskatchewan.ca/api/v1/products/117430/formats/134866/download","2022-03-20","2022-03-26","SK","Unknown",38,,0,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK",,1032,,24,7689,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Far North West",9,,1,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Far North Central",0,,0,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Far North East",7,,1,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","North West",69,,3,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","North Central",36,,2,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","North East",27,,1,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Saskatoon",304,,6,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Central West",26,,1,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Central East",128,,3,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Regina",178,,3,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","South West",19,,0,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","South Central",66,,0,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","South East",71,,3,,,,,,,
"2022-04-07","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-march-27-april-2.pdf","2022-03-27","2022-04-02","SK","Unknown",92,,0,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK",,1051,,20,7996,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Far North West",12,,1,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Far North Central",1,,0,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Far North East",9,,0,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","North West",58,,2,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","North Central",49,,2,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","North East",36,,0,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Saskatoon",294,,2,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Central West",37,,0,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Central East",99,,5,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Regina",181,,4,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","South West",18,,1,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","South Central",49,,2,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","South East",62,,1,,,,,,,
"2022-04-14","https://www.saskatchewan.ca/-/media/news-release-backgrounders/2022/apr/integrated-epi-sit-report-april-3---9.pdf","2022-04-03","2022-04-09","SK","Unknown",146,,0,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK",,890,,22,7354,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","Far North West",19,,0,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","Far North Central",0,,0,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","Far North East",8,,0,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","North West",66,,5,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","North Central",54,,2,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","North East",31,,0,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","Saskatoon",258,,1,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","Central West",38,,0,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","Central East",90,,3,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","Regina",134,,6,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","South West",34,,0,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","South Central",52,,3,,,,,,,
"2022-04-21","https://publications.saskatchewan.ca/api/v1/products/117659/formats/135144/download","2022-04-10","2022-04-16","SK","South East",56,,2,,,,,,,
