"name","province","sub_region_1","date","value","value_daily"
"cases","AB","North",2020-04-18,126,1
"cases","AB","Not Reported",2020-04-18,0,0
"cases","AB","South",2020-04-18,118,41
"cases","AB",NA,2020-04-18,0,0
"cases","AB","Calgary",2020-04-19,1930,154
"cases","AB","Central",2020-04-19,71,1
"cases","AB","Edmonton",2020-04-19,414,6
"cases","AB","North",2020-04-19,131,5
"cases","AB","Not Reported",2020-04-19,0,0
"cases","AB","South",2020-04-19,153,35
"cases","AB",NA,2020-04-19,0,0
"cases","AB","Calgary",2020-04-20,2043,113
"cases","AB","Central",2020-04-20,71,0
"cases","AB","Edmonton",2020-04-20,426,12
"cases","AB","North",2020-04-20,139,8
"cases","AB","Not Reported",2020-04-20,0,0
"cases","AB","South",2020-04-20,203,50
"cases","AB",NA,2020-04-20,0,0
"cases","AB","Calgary",2020-04-21,2206,163
"cases","AB","Central",2020-04-21,73,2
"cases","AB","Edmonton",2020-04-21,430,4
"cases","AB","North",2020-04-21,144,5
"cases","AB","Not Reported",2020-04-21,0,0
"cases","AB","South",2020-04-21,293,90
"cases","AB",NA,2020-04-21,0,0
"cases","AB","Calgary",2020-04-22,2438,232
"cases","AB","Central",2020-04-22,73,0
"cases","AB","Edmonton",2020-04-22,434,4
"cases","AB","North",2020-04-22,149,5
"cases","AB","Not Reported",2020-04-22,0,0
"cases","AB","South",2020-04-22,346,53
"cases","AB",NA,2020-04-22,0,0
"cases","AB","Calgary",2020-04-23,2672,234
"cases","AB","Central",2020-04-23,75,2
"cases","AB","Edmonton",2020-04-23,442,8
"cases","AB","North",2020-04-23,159,10
"cases","AB","Not Reported",2020-04-23,0,0
"cases","AB","South",2020-04-23,432,86
"cases","AB",NA,2020-04-23,0,0
"cases","AB","Calgary",2020-04-24,2826,154
"cases","AB","Central",2020-04-24,75,0
"cases","AB","Edmonton",2020-04-24,454,12
"cases","AB","North",2020-04-24,169,10
"cases","AB","Not Reported",2020-04-24,0,0
"cases","AB","South",2020-04-24,488,56
"cases","AB",NA,2020-04-24,0,0
"cases","AB","Calgary",2020-04-25,2960,134
"cases","AB","Central",2020-04-25,75,0
"cases","AB","Edmonton",2020-04-25,462,8
"cases","AB","North",2020-04-25,176,7
"cases","AB","Not Reported",2020-04-25,0,0
"cases","AB","South",2020-04-25,561,73
"cases","AB",NA,2020-04-25,0,0
"cases","AB","Calgary",2020-04-26,3085,125
"cases","AB","Central",2020-04-26,77,2
"cases","AB","Edmonton",2020-04-26,466,4
"cases","AB","North",2020-04-26,191,15
"cases","AB","Not Reported",2020-04-26,0,0
"cases","AB","South",2020-04-26,618,57
"cases","AB",NA,2020-04-26,0,0
"cases","AB","Calgary",2020-04-27,3198,113
"cases","AB","Central",2020-04-27,77,0
"cases","AB","Edmonton",2020-04-27,468,2
"cases","AB","North",2020-04-27,198,7
"cases","AB","Not Reported",2020-04-27,0,0
"cases","AB","South",2020-04-27,674,56
"cases","AB",NA,2020-04-27,0,0
"cases","AB","Calgary",2020-04-28,3334,136
"cases","AB","Central",2020-04-28,77,0
"cases","AB","Edmonton",2020-04-28,471,3
"cases","AB","North",2020-04-28,202,4
"cases","AB","Not Reported",2020-04-28,0,0
"cases","AB","South",2020-04-28,780,106
"cases","AB",NA,2020-04-28,0,0
"cases","AB","Calgary",2020-04-29,3440,106
"cases","AB","Central",2020-04-29,77,0
"cases","AB","Edmonton",2020-04-29,473,2
"cases","AB","North",2020-04-29,206,4
"cases","AB","Not Reported",2020-04-29,0,0
"cases","AB","South",2020-04-29,899,119
"cases","AB",NA,2020-04-29,0,0
"cases","AB","Calgary",2020-04-30,3526,86
"cases","AB","Central",2020-04-30,77,0
"cases","AB","Edmonton",2020-04-30,478,5
"cases","AB","North",2020-04-30,211,5
"cases","AB","Not Reported",2020-04-30,0,0
"cases","AB","South",2020-04-30,1025,126
"cases","AB",NA,2020-04-30,0,0
"cases","AB","Calgary",2020-05-01,3632,106
"cases","AB","Central",2020-05-01,78,1
"cases","AB","Edmonton",2020-05-01,479,1
"cases","AB","North",2020-05-01,213,2
"cases","AB","Not Reported",2020-05-01,0,0
"cases","AB","South",2020-05-01,1056,31
"cases","AB",NA,2020-05-01,0,0
"cases","AB","Calgary",2020-05-02,3724,92
"cases","AB","Central",2020-05-02,78,0
"cases","AB","Edmonton",2020-05-02,480,1
"cases","AB","North",2020-05-02,214,1
"cases","AB","Not Reported",2020-05-02,0,0
"cases","AB","South",2020-05-02,1074,18
