"date","source","date_start","date_end","region","sub_region_1","cases","cases_weekly","cumulative_cases_since_2022-08-28","cumulative_cases_since_2022-08-28_weekly_diff","deaths","deaths_weekly","cumulative_deaths_since_2022-08-28","cumulative_deaths_since_2022-08-28_weekly_diff","new_hospitalizations","new_hospitalizations_weekly","cumulative_new_hospitalizations_since_2022-08-28","cumulative_new_hospitalizations_since_2022-08-28_weekly_diff","new_icu","new_icu_weekly","cumulative_new_icu_since_2022-08-28","cumulative_new_icu_since_2022-08-28_weekly_diff","tests_completed","tests_completed_weekly","cumulative_tests_completed_since_2022-08-28","cumulative_tests_completed_since_2022-08-28_weekly_diff"
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB","Zone 1",117,117,,,,,,,3,3,,,2,2,,,609,609,,
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB","Zone 2",60,60,,,,,,,3,3,,,1,1,,,442,442,,
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB","Zone 3",86,86,,,,,,,1,1,,,0,0,,,417,417,,
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB","Zone 4",29,29,,,,,,,0,0,,,0,0,,,155,155,,
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB","Zone 5",24,24,,,,,,,0,0,,,0,0,,,202,202,,
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB","Zone 6",48,48,,,,,,,3,3,,,0,0,,,236,236,,
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB","Zone 7",15,15,,,,,,,0,0,,,0,0,,,184,184,,
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB",,350,350,13351,350,3,3,167,3,20,20,584,20,1,1,51,1,2213,2213,106257,2213
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB","Zone 1",89,89,,,,,,,3,3,,,0,0,,,607,607,,
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB","Zone 2",82,82,,,,,,,5,5,,,1,1,,,412,412,,
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB","Zone 3",75,75,,,,,,,4,4,,,0,0,,,488,488,,
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB","Zone 4",14,14,,,,,,,1,1,,,0,0,,,98,98,,
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB","Zone 5",23,23,,,,,,,2,2,,,0,0,,,225,225,,
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB","Zone 6",51,51,,,,,,,3,3,,,0,0,,,234,234,,
"2023-02-22","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-7.pdf","2023-02-12","2023-02-18","NB","Zone 7",16,16,,,,,,,2,2,,,0,0,,,149,149,,
