"date","source","date_start","date_end","region","sub_region_1","active_hospitalizations","active_icu"
"2020-05-25",,"2020-05-25","2020-05-25","NB",,,
"2020-05-26","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0301.html","2020-05-26","2020-05-26","NB",,0,0
"2020-05-27","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0307.html","2020-05-27","2020-05-27","NB",,0,0
"2020-05-28","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0311.html","2020-05-28","2020-05-28","NB",,0,0
"2020-05-29","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0313.html","2020-05-29","2020-05-29","NB",,2,2
"2020-05-30","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0314.html","2020-05-30","2020-05-30","NB",,3,0
"2020-05-31","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0316.html","2020-05-31","2020-05-31","NB",,3,1
"2020-06-01","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0317.html","2020-06-01","2020-06-01","NB",,4,1
"2020-06-02","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0319.html","2020-06-02","2020-06-02","NB",,5,1
"2020-06-03","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0321.html","2020-06-03","2020-06-03","NB",,5,1
"2020-06-04","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0324.html","2020-06-04","2020-06-04","NB",,4,1
"2020-06-05","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0325.html","2020-06-05","2020-06-05","NB",,4,1
"2020-06-06","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0326.html","2020-06-06","2020-06-06","NB",,4,0
"2020-06-07","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0327.html","2020-06-07","2020-06-07","NB",,4,0
"2020-06-08","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0329.html","2020-06-08","2020-06-08","NB",,5,0
"2020-06-09","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0332.html","2020-06-09","2020-06-09","NB",,5,1
"2020-06-10","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0337.html","2020-06-10","2020-06-10","NB",,5,1
"2020-06-11","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0342.html","2020-06-11","2020-06-11","NB",,5,1
"2020-06-12","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0345.html","2020-06-12","2020-06-12","NB",,5,1
"2020-06-13","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0347.html","2020-06-13","2020-06-13","NB",,4,1
"2020-06-14","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0348.html","2020-06-14","2020-06-14","NB",,4,1
"2020-06-15","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0352.html","2020-06-15","2020-06-15","NB",,4,1
"2020-06-16","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0355.html","2020-06-16","2020-06-16","NB",,4,1
"2020-06-17","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0356.html","2020-06-17","2020-06-17","NB",,4,1
"2020-06-18","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0358.html","2020-06-18","2020-06-18","NB",,2,1
"2020-06-19","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0362.html","2020-06-19","2020-06-19","NB",,2,1
"2020-06-20","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0364.html","2020-06-20","2020-06-20","NB",,2,1
"2020-06-21","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0365.html","2020-06-21","2020-06-21","NB",,2,1
"2020-06-22","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0366.html","2020-06-22","2020-06-22","NB",,2,1
"2020-06-23","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0367.html","2020-06-23","2020-06-23","NB",,2,1
"2020-06-24","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0371.html","2020-06-24","2020-06-24","NB",,2,1
"2020-06-25","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0373.html","2020-06-25","2020-06-25","NB",,2,1
"2020-06-26","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0374.html","2020-06-26","2020-06-26","NB",,2,1
"2020-06-27",,"2020-06-27","2020-06-27","NB",,,
"2020-06-28",,"2020-06-28","2020-06-28","NB",,,
"2020-06-29","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0377.html","2020-06-29","2020-06-29","NB",,2,1
"2020-06-30","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.06.0381.html","2020-06-30","2020-06-30","NB",,,
"2020-07-01","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0383.html","2020-07-01","2020-07-01","NB",,,
"2020-07-02","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0384.html","2020-07-02","2020-07-02","NB",,,
"2020-07-03",,"2020-07-03","2020-07-03","NB",,,
"2020-07-04",,"2020-07-04","2020-07-04","NB",,,
"2020-07-05",,"2020-07-05","2020-07-05","NB",,,
"2020-07-06","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0387.html","2020-07-06","2020-07-06","NB",,,
"2020-07-07",,"2020-07-07","2020-07-07","NB",,,
"2020-07-08",,"2020-07-08","2020-07-08","NB",,,
"2020-07-09","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0395.html","2020-07-09","2020-07-09","NB",,,
"2020-07-10",,"2020-07-10","2020-07-10","NB",,,
"2020-07-11",,"2020-07-11","2020-07-11","NB",,,
"2020-07-12",,"2020-07-12","2020-07-12","NB",,,
"2020-07-13",,"2020-07-13","2020-07-13","NB",,,
"2020-07-14","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0400.html","2020-07-14","2020-07-14","NB",,,
"2020-07-15","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0405.html","2020-07-15","2020-07-15","NB",,,
"2020-07-16",,"2020-07-16","2020-07-16","NB",,,
"2020-07-17",,"2020-07-17","2020-07-17","NB",,,
"2020-07-18",,"2020-07-18","2020-07-18","NB",,,
"2020-07-19",,"2020-07-19","2020-07-19","NB",,,
"2020-07-20","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0413.html","2020-07-20","2020-07-20","NB",,,
"2020-07-21",,"2020-07-21","2020-07-21","NB",,,
"2020-07-22","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0415.html","2020-07-22","2020-07-22","NB",,,
"2020-07-23",,"2020-07-23","2020-07-23","NB",,,
"2020-07-24",,"2020-07-24","2020-07-24","NB",,,
"2020-07-25",,"2020-07-25","2020-07-25","NB",,,
"2020-07-26",,"2020-07-26","2020-07-26","NB",,,
"2020-07-27",,"2020-07-27","2020-07-27","NB",,,
"2020-07-28",,"2020-07-28","2020-07-28","NB",,,
"2020-07-29",,"2020-07-29","2020-07-29","NB",,,
"2020-07-30","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.07.0421.html","2020-07-30","2020-07-30","NB",,,
"2020-07-31",,"2020-07-31","2020-07-31","NB",,,
"2020-08-01",,"2020-08-01","2020-08-01","NB",,,
"2020-08-02",,"2020-08-02","2020-08-02","NB",,,
"2020-08-03",,"2020-08-03","2020-08-03","NB",,,
"2020-08-04",,"2020-08-04","2020-08-04","NB",,,
"2020-08-05","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0425.html","2020-08-05","2020-08-05","NB",,,
"2020-08-06","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0428.html","2020-08-06","2020-08-06","NB",,,
"2020-08-07",,"2020-08-07","2020-08-07","NB",,,
"2020-08-08",,"2020-08-08","2020-08-08","NB",,,
"2020-08-09",,"2020-08-09","2020-08-09","NB",,,
"2020-08-10",,"2020-08-10","2020-08-10","NB",,,
"2020-08-11","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0436.html","2020-08-11","2020-08-11","NB",,,
"2020-08-12","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0438.html","2020-08-12","2020-08-12","NB",,,
"2020-08-13","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0442.html","2020-08-13","2020-08-13","NB",,,
"2020-08-14",,"2020-08-14","2020-08-14","NB",,,
"2020-08-15","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0449.html","2020-08-15","2020-08-15","NB",,,
"2020-08-16","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0450.html","2020-08-16","2020-08-16","NB",,,
"2020-08-17",,"2020-08-17","2020-08-17","NB",,,
"2020-08-18",,"2020-08-18","2020-08-18","NB",,,
"2020-08-19",,"2020-08-19","2020-08-19","NB",,,
"2020-08-20",,"2020-08-20","2020-08-20","NB",,,
"2020-08-21","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0458.html","2020-08-21","2020-08-21","NB",,,
"2020-08-22",,"2020-08-22","2020-08-22","NB",,,
"2020-08-23",,"2020-08-23","2020-08-23","NB",,,
"2020-08-24",,"2020-08-24","2020-08-24","NB",,,
"2020-08-25","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0460.html","2020-08-25","2020-08-25","NB",,,
"2020-08-26",,"2020-08-26","2020-08-26","NB",,,
"2020-08-27",,"2020-08-27","2020-08-27","NB",,,
"2020-08-28","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.08.0465.html","2020-08-28","2020-08-28","NB",,,
"2020-08-29",,"2020-08-29","2020-08-29","NB",,,
"2020-08-30",,"2020-08-30","2020-08-30","NB",,,
"2020-08-31",,"2020-08-31","2020-08-31","NB",,,
"2020-09-01",,"2020-09-01","2020-09-01","NB",,,
"2020-09-02","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0470.html","2020-09-02","2020-09-02","NB",,,
"2020-09-03","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0473.html","2020-09-03","2020-09-03","NB",,,
"2020-09-04",,"2020-09-04","2020-09-04","NB",,,
"2020-09-05",,"2020-09-05","2020-09-05","NB",,,
"2020-09-06",,"2020-09-06","2020-09-06","NB",,,
"2020-09-07",,"2020-09-07","2020-09-07","NB",,,
"2020-09-08",,"2020-09-08","2020-09-08","NB",,,
"2020-09-09",,"2020-09-09","2020-09-09","NB",,,
"2020-09-10","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0476.html","2020-09-10","2020-09-10","NB",,,
"2020-09-11",,"2020-09-11","2020-09-11","NB",,,
"2020-09-12",,"2020-09-12","2020-09-12","NB",,,
"2020-09-13",,"2020-09-13","2020-09-13","NB",,,
"2020-09-14","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0477.html","2020-09-14","2020-09-14","NB",,,
"2020-09-15",,"2020-09-15","2020-09-15","NB",,,
"2020-09-16",,"2020-09-16","2020-09-16","NB",,,
"2020-09-17","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0481.html","2020-09-17","2020-09-17","NB",,,
"2020-09-18",,"2020-09-18","2020-09-18","NB",,,
"2020-09-19",,"2020-09-19","2020-09-19","NB",,,
"2020-09-20",,"2020-09-20","2020-09-20","NB",,,
"2020-09-21","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0485.html","2020-09-21","2020-09-21","NB",,,
"2020-09-22",,"2020-09-22","2020-09-22","NB",,,
"2020-09-23","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0488.html","2020-09-23","2020-09-23","NB",,,
"2020-09-24","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0490.html","2020-09-24","2020-09-24","NB",,,
"2020-09-25","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.09.0495.html","2020-09-25","2020-09-25","NB",,,
"2020-09-26",,"2020-09-26","2020-09-26","NB",,,
"2020-09-27",,"2020-09-27","2020-09-27","NB",,,
"2020-09-28",,"2020-09-28","2020-09-28","NB",,,
"2020-09-29",,"2020-09-29","2020-09-29","NB",,,
"2020-09-30",,"2020-09-30","2020-09-30","NB",,,
"2020-10-01",,"2020-10-01","2020-10-01","NB",,,
"2020-10-02",,"2020-10-02","2020-10-02","NB",,,
"2020-10-03","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0502.html","2020-10-03","2020-10-03","NB",,,
"2020-10-04",,"2020-10-04","2020-10-04","NB",,,
"2020-10-05","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0504.html","2020-10-05","2020-10-05","NB",,,
"2020-10-06","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0507.html","2020-10-06","2020-10-06","NB",,,
"2020-10-07","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0509.html","2020-10-07","2020-10-07","NB",,,
"2020-10-08","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0515.html","2020-10-08","2020-10-08","NB",,,
"2020-10-09","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0517.html","2020-10-09","2020-10-09","NB",,,
"2020-10-10","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0519.html","2020-10-10","2020-10-10","NB",,,
"2020-10-11","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0520.html","2020-10-11","2020-10-11","NB",,,
"2020-10-12","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0522.html","2020-10-12","2020-10-12","NB",,,
"2020-10-13","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0526.html","2020-10-13","2020-10-13","NB",,,
"2020-10-14","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0531.html","2020-10-14","2020-10-14","NB",,,
"2020-10-15","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0534.html","2020-10-15","2020-10-15","NB",,,
"2020-10-16","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0535.html","2020-10-16","2020-10-16","NB",,,
"2020-10-17","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0536.html","2020-10-17","2020-10-17","NB",,,
"2020-10-18","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0537.html","2020-10-18","2020-10-18","NB",,,
"2020-10-19","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0541.html","2020-10-19","2020-10-19","NB",,,
"2020-10-20","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0547.html","2020-10-20","2020-10-20","NB",,,
"2020-10-21","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0548.html","2020-10-21","2020-10-21","NB",,,
"2020-10-22","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0550.html","2020-10-22","2020-10-22","NB",,,
"2020-10-23","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0551.html","2020-10-23","2020-10-23","NB",,,
"2020-10-24","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0552.html","2020-10-24","2020-10-24","NB",,,
"2020-10-25","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0553.html","2020-10-25","2020-10-25","NB",,,
"2020-10-26","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0554.html","2020-10-26","2020-10-26","NB",,,
"2020-10-27","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0555.html","2020-10-27","2020-10-27","NB",,,
"2020-10-28","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0558.html","2020-10-28","2020-10-28","NB",,,
"2020-10-29","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0562.html","2020-10-29","2020-10-29","NB",,,
"2020-10-30","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0566.html","2020-10-30","2020-10-30","NB",,,
